Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
70.533,0.776,31.04,0.741310241300918,0.549540873857625
70.552,0.712,28.48,0.552077439280758,0.304789498962799
70.573,0.789,31.56,0.787045789695099,0.619441075076782
70.573,0.725,29,0.586138164514029,0.343557947899875
70.592,0.556,22.24,0.269153480392692,0.0724435960074991
70.592,0.738,29.52,0.62230028516916,0.387257644921618
70.611,0.621,24.84,0.363078054770102,0.131825673855641
70.63,0.207,8.28,0.0539510622515128,0.00291071711806661
70.63,0.634,25.36,0.385478357665772,0.148593564228701
70.65,0.233,9.32,0.0608135001278718,0.00369828179780267
70.67,0.595,23.8,0.322106879128344,0.103752841581801
70.67,0.401,16.04,0.131825673855641,0.0173780082874938
70.689,0.531,21.24,0.239883291901949,0.0575439937337158
70.689,0.712,28.48,0.552077439280758,0.304789498962799
70.708,0.466,18.64,0.177827941003892,0.0316227766016838
70.729,0.686,27.44,0.489778819368447,0.239883291901949
70.729,0.349,13.96,0.103752841581801,0.0107646521362984
70.748,0.66,26.4,0.434510224171572,0.18879913490963
70.748,0.764,30.56,0.701455298419972,0.492039535681452
70.767,0.621,24.84,0.363078054770102,0.131825673855641
70.786,0.738,29.52,0.62230028516916,0.387257644921618
70.786,0.802,32.08,0.835603018231248,0.698232404077172
70.806,0.738,29.52,0.62230028516916,0.387257644921618
70.824,0.789,31.56,0.787045789695099,0.619441075076782
70.824,0.802,32.08,0.835603018231248,0.698232404077172
70.843,0.776,31.04,0.741310241300918,0.549540873857625
70.843,0.802,32.08,0.835603018231248,0.698232404077172
70.862,0.776,31.04,0.741310241300918,0.549540873857625
70.88,0.802,32.08,0.835603018231248,0.698232404077172
70.88,0.789,31.56,0.787045789695099,0.619441075076782
70.899,0.751,30.04,0.660693448007596,0.436515832240167
70.918,0.789,31.56,0.787045789695099,0.619441075076782
70.918,0.764,30.56,0.701455298419972,0.492039535681452
70.938,0.686,27.44,0.489778819368447,0.239883291901949
70.939,0.776,31.04,0.741310241300918,0.549540873857625
70.958,0.699,27.96,0.519995996533516,0.270395836410885
70.978,0.556,22.24,0.269153480392692,0.0724435960074991
70.978,0.725,29,0.586138164514029,0.343557947899875
70.999,0.595,23.8,0.322106879128344,0.103752841581801
70.999,0.181,7.24,0.0478630092322639,0.00229086765276777
71.019,0.634,25.36,0.385478357665772,0.148593564228701
71.04,0.285,11.4,0.0772680585095703,0.00597035286583838
71.04,0.544,21.76,0.254683025258504,0.064863443354824
71.063,0.401,16.04,0.131825673855641,0.0173780082874938
71.063,0.492,19.68,0.200447202736516,0.040179081084894
71.085,0.673,26.92,0.46131757456038,0.212813904598272
71.085,0.401,16.04,0.131825673855641,0.0173780082874938
71.108,0.647,25.88,0.409260659730011,0.167494287602644
71.108,0.285,11.4,0.0772680585095703,0.00597035286583838
71.127,0.608,24.32,0.341979442513709,0.116949939101987
71.127,0.712,28.48,0.552077439280758,0.304789498962799
71.147,0.582,23.28,0.303389118419427,0.0920449571753172
71.166,0.712,28.48,0.552077439280758,0.304789498962799
71.166,0.738,29.52,0.62230028516916,0.387257644921618
71.186,0.686,27.44,0.489778819368447,0.239883291901949
71.206,0.738,29.52,0.62230028516916,0.387257644921618
71.206,0.764,30.56,0.701455298419972,0.492039535681452
71.227,0.725,29,0.586138164514029,0.343557947899875
71.227,0.751,30.04,0.660693448007596,0.436515832240167
71.247,0.751,30.04,0.660693448007596,0.436515832240167
71.247,0.751,30.04,0.660693448007596,0.436515832240167
71.268,0.751,30.04,0.660693448007596,0.436515832240167
71.288,0.712,28.48,0.552077439280758,0.304789498962799
71.288,0.738,29.52,0.62230028516916,0.387257644921618
71.309,0.725,29,0.586138164514029,0.343557947899875
71.309,0.66,26.4,0.434510224171572,0.18879913490963
71.331,0.725,29,0.586138164514029,0.343557947899875
71.331,0.673,26.92,0.46131757456038,0.212813904598272
71.351,0.531,21.24,0.239883291901949,0.0575439937337158
71.371,0.686,27.44,0.489778819368447,0.239883291901949
71.371,0.569,22.76,0.285759054337495,0.0816582371358593
71.39,0.246,9.84,0.0645654229034656,0.00416869383470336
71.39,0.582,23.28,0.303389118419427,0.0920449571753172
71.41,0.311,12.44,0.0870963589956081,0.00758577575029184
71.429,0.479,19.16,0.188799134909629,0.0356451133426244
71.429,0.414,16.56,0.139958732257262,0.0195884467350599
71.448,0.401,16.04,0.131825673855641,0.0173780082874938
71.468,0.608,24.32,0.341979442513709,0.116949939101987
71.468,0.531,21.24,0.239883291901949,0.0575439937337158
71.487,0.582,23.28,0.303389118419427,0.0920449571753172
71.487,0.22,8.8,0.057279603098583,0.00328095293113119
71.506,0.544,21.76,0.254683025258504,0.064863443354824
71.525,0.647,25.88,0.409260659730011,0.167494287602644
71.525,0.492,19.68,0.200447202736516,0.040179081084894
71.546,0.634,25.36,0.385478357665772,0.148593564228701
71.546,0.686,27.44,0.489778819368447,0.239883291901949
71.566,0.595,23.8,0.322106879128344,0.103752841581801
71.585,0.673,26.92,0.46131757456038,0.212813904598272
71.585,0.686,27.44,0.489778819368447,0.239883291901949
71.605,0.66,26.4,0.434510224171572,0.18879913490963
71.605,0.686,27.44,0.489778819368447,0.239883291901949
71.624,0.673,26.92,0.46131757456038,0.212813904598272
71.645,0.673,26.92,0.46131757456038,0.212813904598272
71.645,0.673,26.92,0.46131757456038,0.212813904598272
71.664,0.647,25.88,0.409260659730011,0.167494287602644
71.664,0.673,26.92,0.46131757456038,0.212813904598272
71.685,0.647,25.88,0.409260659730011,0.167494287602644
71.704,0.582,23.28,0.303389118419427,0.0920449571753172
71.704,0.647,25.88,0.409260659730011,0.167494287602644
71.724,0.595,23.8,0.322106879128344,0.103752841581801
71.724,0.466,18.64,0.177827941003892,0.0316227766016838
71.744,0.595,23.8,0.322106879128344,0.103752841581801
71.764,0.492,19.68,0.200447202736516,0.040179081084894
71.764,0.22,8.8,0.057279603098583,0.00328095293113119
71.783,0.518,20.72,0.225943577022098,0.0510504999975407
71.784,0.634,25.36,0.385478357665772,0.148593564228701
71.805,0.362,14.48,0.110153930954142,0.0121338885046498
71.824,0.362,14.48,0.110153930954142,0.0121338885046498
71.824,0.285,11.4,0.0772680585095703,0.00597035286583838
71.845,0.492,19.68,0.200447202736516,0.040179081084894
71.845,0.194,7.76,0.0508159442560561,0.0025822601906346
71.864,0.453,18.12,0.167494287602644,0.0280543363795172
71.883,0.544,21.76,0.254683025258504,0.064863443354824
71.884,0.414,16.56,0.139958732257262,0.0195884467350599
71.904,0.518,20.72,0.225943577022098,0.0510504999975407
71.904,0.349,13.96,0.103752841581801,0.0107646521362984
71.924,0.492,19.68,0.200447202736516,0.040179081084894
71.944,0.556,22.24,0.269153480392692,0.0724435960074991
71.945,0.466,18.64,0.177827941003892,0.0316227766016838
71.964,0.531,21.24,0.239883291901949,0.0575439937337158
71.964,0.556,22.24,0.269153480392692,0.0724435960074991
71.983,0.518,20.72,0.225943577022098,0.0510504999975407
72.001,0.544,21.76,0.254683025258504,0.064863443354824
72.001,0.544,21.76,0.254683025258504,0.064863443354824
72.02,0.531,21.24,0.239883291901949,0.0575439937337158
72.039,0.544,21.76,0.254683025258504,0.064863443354824
72.039,0.505,20.2,0.212813904598271,0.0452897579903621
72.059,0.531,21.24,0.239883291901949,0.0575439937337158
72.059,0.505,20.2,0.212813904598271,0.0452897579903621
72.078,0.44,17.6,0.157761126969935,0.0248885731828239
72.096,0.505,20.2,0.212813904598271,0.0452897579903621
72.096,0.44,17.6,0.157761126969935,0.0248885731828239
72.116,0.336,13.44,0.0977237220955811,0.00954992586021437
72.134,0.44,17.6,0.157761126969935,0.0248885731828239
72.134,0.44,17.6,0.157761126969935,0.0248885731828239
72.154,0.181,7.24,0.0478630092322639,0.00229086765276777
72.154,0.349,13.96,0.103752841581801,0.0107646521362984
72.172,0.246,9.84,0.0645654229034656,0.00416869383470336
72.192,0.207,8.28,0.0539510622515128,0.00291071711806661
72.193,0.272,10.88,0.0727779804536825,0.00529663443891659
72.211,0.168,6.72,0.0450816704541461,0.00203235701093622
72.211,0.336,13.44,0.0977237220955811,0.00954992586021437
72.23,0.168,6.72,0.0450816704541461,0.00203235701093622
72.25,0.298,11.92,0.0820351544329818,0.00672976656284318
72.25,0.427,17.08,0.148593564228701,0.022080047330189
72.267,0.272,10.88,0.0727779804536825,0.00529663443891659
72.287,0.414,16.56,0.139958732257262,0.0195884467350599
72.287,0.427,17.08,0.148593564228701,0.022080047330189
72.307,0.401,16.04,0.131825673855641,0.0173780082874938
72.307,0.492,19.68,0.200447202736516,0.040179081084894
72.326,0.375,15,0.116949939101987,0.0136772882559585
72.345,0.479,19.16,0.188799134909629,0.0356451133426244
72.345,0.505,20.2,0.212813904598271,0.0452897579903621
72.364,0.466,18.64,0.177827941003892,0.0316227766016838
72.383,0.505,20.2,0.212813904598271,0.0452897579903621
72.383,0.505,20.2,0.212813904598271,0.0452897579903621
72.401,0.518,20.72,0.225943577022098,0.0510504999975407
72.42,0.531,21.24,0.239883291901949,0.0575439937337158
72.42,0.505,20.2,0.212813904598271,0.0452897579903621
72.44,0.556,22.24,0.269153480392692,0.0724435960074991
72.44,0.531,21.24,0.239883291901949,0.0575439937337158
72.459,0.479,19.16,0.188799134909629,0.0356451133426244
72.478,0.544,21.76,0.254683025258504,0.064863443354824
72.478,0.518,20.72,0.225943577022098,0.0510504999975407
72.496,0.401,16.04,0.131825673855641,0.0173780082874938
72.516,0.531,21.24,0.239883291901949,0.0575439937337158
72.516,0.453,18.12,0.167494287602644,0.0280543363795172
72.536,0.246,9.84,0.0645654229034656,0.00416869383470336
72.536,0.479,19.16,0.188799134909629,0.0356451133426244
72.556,0.311,12.44,0.0870963589956081,0.00758577575029184
72.575,0.233,9.32,0.0608135001278718,0.00369828179780267
72.575,0.349,13.96,0.103752841581801,0.0107646521362984
72.596,0.181,7.24,0.0478630092322639,0.00229086765276777
72.596,0.569,22.76,0.285759054337495,0.0816582371358593
72.615,0.155,6.2,0.0424619563946313,0.00180301774085957
72.635,0.414,16.56,0.139958732257262,0.0195884467350599
72.635,0.544,21.76,0.254683025258504,0.064863443354824
72.655,0.362,14.48,0.110153930954142,0.0121338885046498
72.655,0.518,20.72,0.225943577022098,0.0510504999975407
72.673,0.324,12.96,0.0924698173938223,0.00855066712884685
72.693,0.505,20.2,0.212813904598271,0.0452897579903621
72.693,0.595,23.8,0.322106879128344,0.103752841581801
72.713,0.492,19.68,0.200447202736516,0.040179081084894
72.713,0.582,23.28,0.303389118419427,0.0920449571753172
72.732,0.634,25.36,0.385478357665772,0.148593564228701
72.752,0.582,23.28,0.303389118419427,0.0920449571753172
72.752,0.634,25.36,0.385478357665772,0.148593564228701
72.771,0.647,25.88,0.409260659730011,0.167494287602644
72.771,0.634,25.36,0.385478357665772,0.148593564228701
72.789,0.634,25.36,0.385478357665772,0.148593564228701
72.809,0.647,25.88,0.409260659730011,0.167494287602644
72.809,0.66,26.4,0.434510224171572,0.18879913490963
72.827,0.647,25.88,0.409260659730011,0.167494287602644
72.847,0.582,23.28,0.303389118419427,0.0920449571753172
72.847,0.647,25.88,0.409260659730011,0.167494287602644
72.865,0.608,24.32,0.341979442513709,0.116949939101987
72.884,0.518,20.72,0.225943577022098,0.0510504999975407
72.884,0.621,24.84,0.363078054770102,0.131825673855641
72.902,0.556,22.24,0.269153480392692,0.0724435960074991
72.902,0.349,13.96,0.103752841581801,0.0107646521362984
72.921,0.582,23.28,0.303389118419427,0.0920449571753172
72.94,0.427,17.08,0.148593564228701,0.022080047330189
72.94,0.259,10.36,0.0685488226452662,0.00469894108605216
72.958,0.466,18.64,0.177827941003892,0.0316227766016838
72.977,0.479,19.16,0.188799134909629,0.0356451133426244
72.977,0.505,20.2,0.212813904598271,0.0452897579903621
72.997,0.194,7.76,0.0508159442560561,0.0025822601906346
73.015,0.518,20.72,0.225943577022098,0.0510504999975407
73.016,0.595,23.8,0.322106879128344,0.103752841581801
73.035,0.427,17.08,0.148593564228701,0.022080047330189
73.035,0.595,23.8,0.322106879128344,0.103752841581801
73.054,0.362,14.48,0.110153930954142,0.0121338885046498
73.073,0.582,23.28,0.303389118419427,0.0920449571753172
73.073,0.647,25.88,0.409260659730011,0.167494287602644
73.091,0.556,22.24,0.269153480392692,0.0724435960074991
73.11,0.647,25.88,0.409260659730011,0.167494287602644
73.11,0.686,27.44,0.489778819368447,0.239883291901949
73.132,0.647,25.88,0.409260659730011,0.167494287602644
73.132,0.686,27.44,0.489778819368447,0.239883291901949
73.153,0.699,27.96,0.519995996533516,0.270395836410885
73.153,0.686,27.44,0.489778819368447,0.239883291901949
73.174,0.712,28.48,0.552077439280758,0.304789498962799
73.193,0.686,27.44,0.489778819368447,0.239883291901949
73.193,0.712,28.48,0.552077439280758,0.304789498962799
73.212,0.699,27.96,0.519995996533516,0.270395836410885
73.212,0.66,26.4,0.434510224171572,0.18879913490963
73.23,0.712,28.48,0.552077439280758,0.304789498962799
73.248,0.673,26.92,0.46131757456038,0.212813904598272
73.249,0.595,23.8,0.322106879128344,0.103752841581801
73.268,0.686,27.44,0.489778819368447,0.239883291901949
73.287,0.608,24.32,0.341979442513709,0.116949939101987
73.287,0.44,17.6,0.157761126969935,0.0248885731828239
73.305,0.634,25.36,0.385478357665772,0.148593564228701
73.324,0.518,20.72,0.225943577022098,0.0510504999975407
