Time_s,DetectorVoltage_V,Power_dB,RelativeAmplitude,RelativePower
94.135,0.544,21.76,0.270395836410884,0.0731139083483418
94.156,0.194,7.76,0.0539510622515128,0.00291071711806661
94.156,0.582,23.28,0.322106879128343,0.103752841581801
94.177,0.324,12.96,0.0981747943019985,0.00963829023623972
94.198,0.44,17.6,0.167494287602644,0.0280543363795171
94.199,0.582,23.28,0.322106879128343,0.103752841581801
94.22,0.375,15,0.124165230759241,0.0154170045294956
94.22,0.595,23.8,0.341979442513709,0.116949939101987
94.239,0.272,10.88,0.0772680585095703,0.00597035286583838
94.239,0.569,22.76,0.303389118419427,0.0920449571753171
94.258,0.142,5.68,0.0424619563946313,0.00180301774085957
94.277,0.544,21.76,0.270395836410884,0.0731139083483418
94.277,0.647,25.88,0.434510224171572,0.188799134909629
94.296,0.492,19.68,0.212813904598271,0.0452897579903621
94.316,0.634,25.36,0.409260659730011,0.167494287602644
94.316,0.686,27.44,0.519995996533516,0.270395836410885
94.336,0.621,24.84,0.385478357665772,0.148593564228701
94.336,0.686,27.44,0.519995996533516,0.270395836410885
94.357,0.712,28.48,0.586138164514029,0.343557947899875
94.377,0.673,26.92,0.489778819368446,0.239883291901949
94.377,0.712,28.48,0.586138164514029,0.343557947899875
94.397,0.712,28.48,0.586138164514029,0.343557947899875
94.397,0.712,28.48,0.586138164514029,0.343557947899875
94.416,0.712,28.48,0.586138164514029,0.343557947899875
94.436,0.686,27.44,0.519995996533516,0.270395836410885
94.436,0.712,28.48,0.586138164514029,0.343557947899875
94.454,0.686,27.44,0.519995996533516,0.270395836410885
94.454,0.634,25.36,0.409260659730011,0.167494287602644
94.474,0.699,27.96,0.552077439280757,0.304789498962798
94.494,0.647,25.88,0.434510224171572,0.188799134909629
94.494,0.518,20.72,0.239883291901949,0.0575439937337157
94.515,0.66,26.4,0.461317574560379,0.212813904598271
94.515,0.544,21.76,0.270395836410884,0.0731139083483418
94.534,0.233,9.32,0.0645654229034656,0.00416869383470336
94.553,0.582,23.28,0.322106879128343,0.103752841581801
94.553,0.336,13.44,0.103752841581801,0.0107646521362983
94.572,0.414,16.56,0.148593564228701,0.022080047330189
94.573,0.414,16.56,0.148593564228701,0.022080047330189
94.591,0.336,13.44,0.103752841581801,0.0107646521362983
94.61,0.569,22.76,0.303389118419427,0.0920449571753171
94.61,0.207,8.28,0.057279603098583,0.00328095293113119
94.629,0.544,21.76,0.270395836410884,0.0731139083483418
94.647,0.181,7.24,0.0508159442560561,0.0025822601906346
94.647,0.518,20.72,0.239883291901949,0.0575439937337157
94.665,0.647,25.88,0.434510224171572,0.188799134909629
94.684,0.479,19.16,0.200447202736516,0.040179081084894
94.684,0.621,24.84,0.385478357665772,0.148593564228701
94.703,0.699,27.96,0.552077439280757,0.304789498962798
94.703,0.608,24.32,0.363078054770101,0.131825673855641
94.722,0.673,26.92,0.489778819368446,0.239883291901949
94.74,0.725,29,0.622300285169159,0.387257644921617
94.741,0.673,26.92,0.489778819368446,0.239883291901949
94.76,0.699,27.96,0.552077439280757,0.304789498962798
94.78,0.712,28.48,0.586138164514029,0.343557947899875
94.78,0.712,28.48,0.586138164514029,0.343557947899875
94.8,0.712,28.48,0.586138164514029,0.343557947899875
94.8,0.699,27.96,0.552077439280757,0.304789498962798
94.821,0.712,28.48,0.586138164514029,0.343557947899875
94.841,0.699,27.96,0.552077439280757,0.304789498962798
94.841,0.634,25.36,0.409260659730011,0.167494287602644
94.861,0.712,28.48,0.586138164514029,0.343557947899875
94.861,0.66,26.4,0.461317574560379,0.212813904598271
94.881,0.544,21.76,0.270395836410884,0.0731139083483418
94.901,0.66,26.4,0.461317574560379,0.212813904598271
94.901,0.582,23.28,0.322106879128343,0.103752841581801
94.92,0.556,22.24,0.285759054337495,0.0816582371358593
94.92,0.608,24.32,0.363078054770101,0.131825673855641
94.939,0.401,16.04,0.139958732257262,0.0195884467350599
94.957,0.388,15.52,0.131825673855641,0.0173780082874938
94.957,0.453,18.12,0.177827941003892,0.0316227766016838
94.978,0.272,10.88,0.0772680585095703,0.00597035286583838
94.978,0.569,22.76,0.303389118419427,0.0920449571753171
94.999,0.155,6.2,0.045081670454146,0.00203235701093622
95.017,0.531,21.24,0.254683025258504,0.0648634433548238
95.017,0.66,26.4,0.461317574560379,0.212813904598271
95.036,0.492,19.68,0.212813904598271,0.0452897579903621
95.036,0.634,25.36,0.409260659730011,0.167494287602644
95.057,0.44,17.6,0.167494287602644,0.0280543363795171
95.076,0.608,24.32,0.363078054770101,0.131825673855641
95.076,0.699,27.96,0.552077439280757,0.304789498962798
95.095,0.595,23.8,0.341979442513709,0.116949939101987
95.113,0.686,27.44,0.519995996533516,0.270395836410885
95.113,0.725,29,0.622300285169159,0.387257644921617
95.133,0.673,26.92,0.489778819368446,0.239883291901949
95.133,0.712,28.48,0.586138164514029,0.343557947899875
95.151,0.725,29,0.622300285169159,0.387257644921617
95.17,0.699,27.96,0.552077439280757,0.304789498962798
95.17,0.725,29,0.622300285169159,0.387257644921617
95.188,0.699,27.96,0.552077439280757,0.304789498962798
95.206,0.712,28.48,0.586138164514029,0.343557947899875
95.206,0.699,27.96,0.552077439280757,0.304789498962798
95.226,0.647,25.88,0.434510224171572,0.188799134909629
95.244,0.712,28.48,0.586138164514029,0.343557947899875
95.244,0.66,26.4,0.461317574560379,0.212813904598271
95.264,0.569,22.76,0.303389118419427,0.0920449571753171
95.264,0.673,26.92,0.489778819368446,0.239883291901949
95.283,0.582,23.28,0.322106879128343,0.103752841581801
95.3,0.349,13.96,0.110153930954142,0.0121338885046498
95.3,0.608,24.32,0.363078054770101,0.131825673855641
95.318,0.427,17.08,0.157761126969935,0.0248885731828239
95.337,0.311,12.44,0.0924698173938222,0.00855066712884683
95.337,0.479,19.16,0.200447202736516,0.040179081084894
95.357,0.194,7.76,0.0539510622515128,0.00291071711806661
95.374,0.544,21.76,0.270395836410884,0.0731139083483418
95.374,0.142,5.68,0.0424619563946313,0.00180301774085957
95.393,0.518,20.72,0.239883291901949,0.0575439937337157
95.412,0.647,25.88,0.434510224171572,0.188799134909629
95.412,0.479,19.16,0.200447202736516,0.040179081084894
95.43,0.66,26.4,0.461317574560379,0.212813904598271
95.43,0.414,16.56,0.148593564228701,0.022080047330189
95.448,0.608,24.32,0.363078054770101,0.131825673855641
95.466,0.673,26.92,0.489778819368446,0.239883291901949
95.467,0.569,22.76,0.303389118419427,0.0920449571753171
95.485,0.673,26.92,0.489778819368446,0.239883291901949
95.503,0.712,28.48,0.586138164514029,0.343557947899875
95.504,0.647,25.88,0.434510224171572,0.188799134909629
95.522,0.699,27.96,0.552077439280757,0.304789498962798
95.54,0.712,28.48,0.586138164514029,0.343557947899875
95.54,0.699,27.96,0.552077439280757,0.304789498962798
95.558,0.712,28.48,0.586138164514029,0.343557947899875
95.577,0.699,27.96,0.552077439280757,0.304789498962798
95.577,0.712,28.48,0.586138164514029,0.343557947899875
95.595,0.712,28.48,0.586138164514029,0.343557947899875
95.595,0.66,26.4,0.461317574560379,0.212813904598271
95.614,0.712,28.48,0.586138164514029,0.343557947899875
95.633,0.673,26.92,0.489778819368446,0.239883291901949
95.633,0.582,23.28,0.322106879128343,0.103752841581801
95.653,0.686,27.44,0.519995996533516,0.270395836410885
95.673,0.608,24.32,0.363078054770101,0.131825673855641
95.673,0.401,16.04,0.139958732257262,0.0195884467350599
95.691,0.621,24.84,0.385478357665772,0.148593564228701
95.691,0.466,18.64,0.188799134909629,0.0356451133426244
95.709,0.285,11.4,0.0820351544329818,0.00672976656284318
95.728,0.492,19.68,0.212813904598271,0.0452897579903621
95.728,0.155,6.2,0.045081670454146,0.00203235701093622
95.746,0.531,21.24,0.254683025258504,0.0648634433548238
95.764,0.194,7.76,0.0539510622515128,0.00291071711806661
95.764,0.492,19.68,0.212813904598271,0.0452897579903621
95.782,0.647,25.88,0.434510224171572,0.188799134909629
95.801,0.44,17.6,0.167494287602644,0.0280543363795171
95.801,0.608,24.32,0.363078054770101,0.131825673855641
95.82,0.375,15,0.124165230759241,0.0154170045294956
95.84,0.582,23.28,0.322106879128343,0.103752841581801
95.84,0.686,27.44,0.519995996533516,0.270395836410885
95.859,0.569,22.76,0.303389118419427,0.0920449571753171
95.859,0.673,26.92,0.489778819368446,0.239883291901949
95.881,0.712,28.48,0.586138164514029,0.343557947899875
95.901,0.66,26.4,0.461317574560379,0.212813904598271
95.901,0.699,27.96,0.552077439280757,0.304789498962798
95.921,0.712,28.48,0.586138164514029,0.343557947899875
95.921,0.699,27.96,0.552077439280757,0.304789498962798
