时间(s),电压(V)
13.801,0.699
13.818,0.647
13.835,0.699
13.835,0.660
13.853,0.544
13.870,0.660
13.870,0.569
13.888,0.311
13.907,0.608
13.907,0.401
13.928,0.375
13.928,0.466
13.946,0.272
13.963,0.556
13.963,0.168
13.981,0.531
13.998,0.647
13.998,0.492
14.016,0.621
14.033,0.440
14.033,0.608
14.051,0.686
14.069,0.595
14.086,0.673
14.087,0.699
14.103,0.660
14.122,0.699
14.122,0.712
14.139,0.699
14.156,0.712
14.156,0.686
14.174,0.712
14.192,0.699
14.192,0.647
14.209,0.699
14.227,0.660
14.227,0.569
14.244,0.673
14.262,0.595
14.262,0.388
14.279,0.608
14.296,0.453
14.296,0.311
14.314,0.492
14.331,0.194
14.331,0.556
14.349,0.155
14.366,0.505
14.384,0.634
14.384,0.466
14.402,0.621
14.418,0.401
14.419,0.608
14.437,0.686
14.456,0.582
14.456,0.660
14.473,0.712
14.491,0.660
14.491,0.712
14.509,0.712
14.527,0.699
14.527,0.699
14.543,0.686
14.562,0.712
14.562,0.699
14.580,0.647
14.597,0.699
14.597,0.673
14.614,0.569
14.631,0.686
14.631,0.647
14.649,0.388
14.667,0.621
14.667,0.453
14.686,0.272
14.705,0.505
14.705,0.155
14.723,0.531
14.740,0.207
14.740,0.492
14.759,0.634
14.779,0.440
14.779,0.608
14.797,0.362
14.797,0.595
14.814,0.673
14.832,0.556
14.832,0.660
14.849,0.699
14.867,0.634
14.884,0.699
14.884,0.712
14.903,0.699
14.903,0.699
14.921,0.686
14.939,0.712
14.956,0.699
14.956,0.660
14.975,0.712
14.975,0.673
14.994,0.595
15.012,0.686
15.012,0.608
15.032,0.453
15.050,0.634
15.050,0.492
15.067,0.181
15.086,0.531
15.086,0.194
15.104,0.505
15.121,0.272
15.122,0.466
15.140,0.634
15.164,0.595
15.164,0.608
15.190,0.324
15.190,0.556
15.190,0.660
15.208,0.531
15.227,0.647
15.227,0.699
15.249,0.647
15.249,0.699
15.266,0.699
15.284,0.686
15.284,0.712
15.302,0.712
15.320,0.712
15.320,0.699
15.338,0.660
15.356,0.699
15.356,0.660
15.375,0.595
15.393,0.686
15.393,0.621
15.410,0.479
15.429,0.647
15.429,0.518
15.446,0.181
15.464,0.544
15.464,0.220
15.483,0.479
15.501,0.311
15.501,0.414
15.519,0.608
15.539,0.362
15.539,0.595
15.557,0.285
15.557,0.582
15.577,0.712
15.595,0.556
15.595,0.660
15.614,0.699
15.633,0.595
15.633,0.634
15.651,0.647
15.669,0.595
15.669,0.634
15.687,0.608
15.705,0.595
15.705,0.608
15.723,0.569
15.741,0.621
15.741,0.608
15.761,0.544
15.761,0.621
15.780,0.582
15.798,0.453
15.798,0.608
15.816,0.505
15.835,0.194
15.835,0.544
15.854,0.285
15.873,0.595
15.873,0.401
15.891,0.414
15.891,0.621
15.909,0.336
15.927,0.621
15.927,0.233
15.945,0.621
15.965,0.712
15.965,0.582
15.984,0.712
16.002,0.776
16.002,0.712
16.020,0.764
16.038,0.802
16.038,0.764
16.057,0.789
16.075,0.789
16.075,0.802
16.094,0.802
16.094,0.764
16.112,0.802
16.130,0.789
16.130,0.725
16.149,0.789
16.167,0.751
16.167,0.660
16.185,0.764
16.203,0.660
16.203,0.324
16.221,0.686
16.239,0.453
16.239,0.518
16.255,0.531
16.274,0.440
16.274,0.699
16.293,0.349
16.312,0.673
16.312,0.207
16.328,0.634
16.348,0.751
16.348,0.595
16.365,0.738
16.383,0.802
16.383,0.725
16.402,0.789
16.420,0.828
16.420,0.776
16.439,0.815
16.439,0.828
16.458,0.815
16.478,0.828
16.478,0.802
16.498,0.828
16.517,0.802
16.517,0.751
16.536,0.815
16.536,0.764
16.555,0.647
16.574,0.764
16.574,0.673
16.592,0.375
16.610,0.712
16.611,0.492
16.630,0.505
16.650,0.556
16.650,0.414
16.670,0.673
16.670,0.233
16.688,0.660
16.706,0.764
16.707,0.621
16.726,0.751
16.726,0.582
16.746,0.725
16.764,0.802
16.764,0.712
16.783,0.789
16.802,0.828
16.802,0.776
16.819,0.802
16.838,0.828
16.838,0.815
16.856,0.828
16.856,0.802
16.874,0.828
16.892,0.802
16.892,0.751
16.910,0.815
16.928,0.764
16.928,0.673
16.946,0.776
16.964,0.686
16.964,0.466
16.981,0.725
17.000,0.544
17.000,0.440
17.017,0.595
17.035,0.324
17.035,0.673
17.053,0.207
17.072,0.634
17.072,0.764
17.091,0.595
17.109,0.738
17.109,0.531
17.127,0.725
17.145,0.802
17.145,0.699
17.163,0.789
17.181,0.815
17.181,0.776
17.199,0.815
17.217,0.815
17.217,0.802
17.236,0.815
17.254,0.802
17.254,0.828
17.272,0.802
